,Zipcode,2019avprice
6,60629,201523.66666666666
28,60618,466989.0833333333
33,60639,262052.75
46,60647,440420.75
47,60632,196797.66666666666
69,60623,174250.75
76,60617,133841.41666666666
87,60625,362744.3333333333
111,60608,299638.25
121,60634,300555.1666666667
171,60614,569098.6666666666
189,60657,448907.0833333333
202,60620,155795.58333333334
224,60640,291715.0
225,60641,332453.25
274,60628,117470.83333333333
311,60609,188402.91666666666
340,60651,218491.83333333334
372,60638,242945.91666666666
405,60619,158841.0
521,60630,334401.5833333333
727,60622,491897.25
746,60613,307267.8333333333
824,60626,205257.33333333334
843,60616,340671.3333333333
970,60649,131206.5
1014,60643,191697.75
1137,60645,292035.0
1164,60644,167952.58333333334
1242,60637,159932.5
1359,60660,245826.0
1374,60707,278834.4166666667
1384,60659,324855.25
1548,60652,198613.33333333334
1786,60615,232435.16666666666
1828,60610,388755.75
2512,60624,168615.5
2697,60612,280536.9166666667
2837,60611,434319.8333333333
2945,60636,78313.08333333333
2993,60653,271820.4166666667
3028,60631,367797.4166666667
3597,60605,368652.4166666667
3610,60646,416736.1666666667
3678,60621,57173.5
3764,60607,393365.0
3778,60655,254257.66666666666
3834,60827,79727.75
5083,60706,306457.8333333333
5194,60656,313119.9166666667
5630,60642,464461.8333333333
6134,60654,385961.0833333333
7389,60601,460937.1666666667
7689,60633,126530.5
9880,60661,372051.0833333333
12368,60606,366560.5833333333
19548,60603,628765.0833333334
21803,60604,425756.5833333333
22032,60602,524355.8333333334
