Zipcode,2019avprice
60629,201523.66666666666
60618,466989.0833333333
60639,262052.75
60647,440420.75
60632,196797.66666666666
60623,174250.75
60617,133841.41666666666
60625,362744.3333333333
60608,299638.25
60634,300555.1666666667
60614,569098.6666666666
60657,448907.0833333333
60620,155795.58333333334
60640,291715.0
60641,332453.25
60628,117470.83333333333
60609,188402.91666666666
60651,218491.83333333334
60638,242945.91666666666
60619,158841.0
60630,334401.5833333333
60622,491897.25
60613,307267.8333333333
60626,205257.33333333334
60616,340671.3333333333
60649,131206.5
60643,191697.75
60645,292035.0
60644,167952.58333333334
60637,159932.5
60660,245826.0
60707,278834.4166666667
60659,324855.25
60652,198613.33333333334
60615,232435.16666666666
60610,388755.75
60624,168615.5
60612,280536.9166666667
60611,434319.8333333333
60636,78313.08333333333
60653,271820.4166666667
60631,367797.4166666667
60605,368652.4166666667
60646,416736.1666666667
60621,57173.5
60607,393365.0
60655,254257.66666666666
60827,79727.75
60706,306457.8333333333
60656,313119.9166666667
60642,464461.8333333333
60654,385961.0833333333
60601,460937.1666666667
60633,126530.5
60661,372051.0833333333
60606,366560.5833333333
60603,628765.0833333334
60604,425756.5833333333
60602,524355.8333333334
